ddb_g	bio1.hr00	bio1.hr04	bio1.hr08	bio1.hr12	bio1.hr16	bio1.hr20	bio1.hr24	bio2.hr00	bio2.hr04	bio2.hr08	bio2.hr12	bio2.hr16	bio2.hr20	bio2.hr24	bio2.prespore	bio2.prestalk	bio4.prespore	bio4.prestalk
DDB_G0278669	0	0	0	0	4	2	4	1	1	0	6	3	1	3	0	0	1	3
DDB_G0278671	1	160	683	821	755	645	719	2	449	562	981	716	895	969	274	303	164	118
DDB_G0278673	35	88	168	308	279	285	221	23	257	182	415	291	503	306	108	142	216	7
DDB_G0278675	10	9	29	35	51	69	61	7	18	24	73	52	134	75	36	18	24	10
DDB_G0278677	2	1	8	10	15	8	6	2	4	9	34	12	9	12	5	27	24	6
DDB_G0278679	0	1	113	215	307	189	259	0	1	53	258	106	107	141	54	153	0	18
DDB_G0278681	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	4	0	0
DDB_G0278683	40	4	8	14	15	31	33	8	24	9	23	13	51	57	7	12	35	10
DDB_G0278685	207	736	794	1609	985	868	1443	274	1467	935	1769	1578	1697	2381	275	1354	201	108
DDB_G0278687	4	12	15	16	7	6	4	3	24	5	19	5	17	3	1	5	19	1
DDB_G0278689	0	0	2	0	2	70	49	0	1	0	1	2	59	45	4	4	0	6
DDB_G0278691	10	5	35	64	92	37	36	2	14	28	84	55	44	43	14	32	19	5
DDB_G0278693	5	0	20	25	32	24	20	0	7	13	36	27	18	16	5	7	15	1
DDB_G0278695	0	0	4	5	9	65	791	0	0	2	17	15	41	645	8	2	10	0
DDB_G0278697	2	2	1220	5905	3961	720	342	1	1	2501	6224	10596	2505	804	12540	908	10283	82
DDB_G0278699	85	125	340	321	118	65	82	123	302	262	301	177	159	129	12	234	65	11
DDB_G0278701	15	12	169	194	227	26	29	2	32	258	538	253	47	35	91	56	4	1
DDB_G0278703	21	193	399	476	382	242	255	24	334	319	695	447	456	298	96	369	21	37
DDB_G0278705	119	71	180	404	258	208	284	54	175	191	398	292	356	399	188	236	24	22
DDB_G0278707	0	0	0	0	43	40	12	0	0	0	0	13	27	21	0	0	0	1
DDB_G0278709	60	549	420	615	267	151	146	106	1352	433	727	470	299	295	114	445	90	163
DDB_G0278711	24	145	103	135	41	34	37	101	370	105	162	107	68	49	48	141	15	11
DDB_G0278713	0	17	32	52	92	59	60	3	54	33	85	85	44	76	41	23	17	5
DDB_G0278715	30	108	26	30	14	28	93	29	137	39	83	42	31	106	99	48	17	4
DDB_G0278717	0	6	3	3	38	16	39	0	3	2	7	35	26	23	18	7	1	59
DDB_G0278719	0	0	49	78	83	38	29	0	3	16	83	38	23	21	28	17	0	1
DDB_G0278721	6893	1460	791	924	542	405	521	4322	2446	643	943	940	904	919	76	3266	197	50
DDB_G0278723	22	73	19	15	14	12	18	34	284	8	23	14	26	20	6	148	0	0
DDB_G0278725	3063	3016	2352	1835	340	239	397	4299	6858	2722	1882	747	912	832	123	1547	171	84
DDB_G0278727	182	87	262	509	833	850	705	41	237	209	664	764	953	843	413	897	2128	85
DDB_G0278729	284	208	613	1130	1064	792	793	273	734	781	1530	1460	1555	1488	220	757	933	131
DDB_G0278731	3	5	896	6402	20818	19874	9367	2	8	1110	8736	18072	19672	14334	2014	135	11447	64
DDB_G0278733	3480	3426	2687	3259	2020	3502	2846	1638	8849	3667	4956	2751	5369	6401	726	3555	795	147
DDB_G0278735	423	82	88	337	304	147	161	226	192	94	368	453	255	242	17	270	98	213
DDB_G0278737	201	549	690	857	1198	796	844	139	1869	762	1628	1223	1376	1176	358	1072	502	437
DDB_G0278739	73	257	246	268	237	549	507	56	635	136	240	161	374	521	60	271	11	64
DDB_G0278741	1832	164	1052	1638	1250	502	464	563	528	1387	2137	1833	846	618	196	586	393	21
DDB_G0278743	0	0	0	0	0	3	2	0	0	0	0	0	1	1	0	1	0	0
DDB_G0278745	0	0	0	0	1	8	19	0	0	0	0	0	10	26	0	0	0	0
DDB_G0278747	5	1	8	8	6	11	5	5	6	7	16	13	6	1	3	7	2	9
DDB_G0278749	181	1187	1176	1292	377	378	496	187	1427	937	1083	634	562	1124	342	1242	53	86
DDB_G0278751	0	2	9	21	30	15	16	1	6	14	32	14	14	16	24	44	1	3
DDB_G0278753	3	33	45	42	18	14	20	6	91	37	73	23	30	24	5	42	0	2
DDB_G0278755	191	57	97	152	74	36	63	41	136	116	259	116	99	98	24	158	3	6
DDB_G0278757	1820	675	506	388	329	276	444	1314	1184	484	634	396	297	678	1445	1539	225	121
DDB_G0278759	6	6	31	41	36	7	14	2	34	27	48	18	11	8	29	14	3	1
DDB_G0278761	677	375	1255	1385	1226	614	654	397	1066	1068	1910	1309	1005	937	227	529	142	87
DDB_G0278763	0	2	5	4	1	5	2	0	7	2	5	2	4	2	13	0	2	1
DDB_G0278765	162	188	122	160	111	53	60	23	364	122	210	136	107	136	84	172	26	122
DDB_G0278767	1	21	11	20	15	11	13	0	41	12	25	11	8	7	3	10	1	1
DDB_G0278769	33	36	79	99	48	29	21	19	89	95	101	83	43	49	22	57	99	31
DDB_G0278771	671	1211	796	635	464	499	965	527	1550	691	1604	654	612	1837	308	1391	79	114
DDB_G0278773	75	74	164	237	177	146	174	33	201	204	373	228	211	231	294	329	65	6
DDB_G0278775	3	6	47	104	91	20	22	1	32	68	182	114	47	45	49	12	8	1
