jgi_id	bio1.hr00	bio1.hr04	bio1.hr08	bio1.hr12	bio1.hr16	bio1.hr20	bio1.hr24	bio2.hr00	bio2.hr04	bio2.hr08	bio2.hr12	bio2.hr16	bio2.hr20	bio2.hr24	bio1.prespore	bio1.prestalk	bio2.prespore	bio2.prestalk
58394	323	710	677	983	952	428	437	577	915	1198	1467	829	652	484	777	281	1165	522
58424	21963	14296	5680	5311	7116	10378	7897	26713	22697	14725	7362	14637	16103	13934	5320	3182	11324	6069
58428	297	676	38	17	109	19	37	530	800	94	16	95	63	36	525	142	659	567
58429	0	16	1	0	2	0	112	1	26	4	2	1	10	190	65	15	59	25
58447	389	173	312	379	254	51	65	734	330	622	631	121	54	78	152	64	331	400
58449	123	72	113	99	102	53	65	203	119	171	144	73	65	64	101	38	158	148
58458	2139	132	395	254	57	25	21	3004	739	562	480	76	51	41	3	94	19	60
58479	254	227	1405	1986	1204	2459	1349	392	357	4892	4672	2837	2415	1847	727	485	1385	2522
58486	83	591	657	250	269	310	341	163	754	946	512	364	452	480	131	35	231	40
58510	411	150	155	140	196	123	246	862	277	230	190	153	249	377	285	113	441	101
58541	9307	5099	988	387	124	168	97	11723	9411	2890	840	161	243	376	18	346	35	117
58554	321	2946	2841	1468	192	50	128	689	4585	5529	2477	188	114	146	22	23	58	39
58605	29	100	124	36	87	106	107	62	132	105	43	58	140	103	45	65	108	273
58624	1993	3292	3526	3368	907	258	315	3501	5361	6003	5165	864	346	325	358	217	594	762
58639	228	740	1124	1275	1114	569	614	438	1051	1543	2234	1328	538	328	581	659	920	890
58645	55	7	25	185	246	108	112	70	22	44	174	219	214	190	131	18	212	112
58665	29	42	43	81	94	39	29	37	59	74	91	87	51	28	36	16	53	46
58676	22	51	56	105	112	65	51	59	79	89	136	113	85	52	60	19	109	63
58708	2478	900	4209	9849	7055	1085	1582	3498	1457	7695	15453	6578	1594	1783	3896	2727	7856	7075
58748	3	6	1	17	32	7	15	17	7	10	19	28	24	13	34	4	31	11
58751	3428	743	1233	217	112	21	9	6355	1103	276	247	26	27	19	137	157	293	251
58784	16	27	27	45	33	13	13	27	51	78	80	32	17	9	16	3	44	34
58785	6649	5790	2709	689	1496	2242	1434	9462	7554	5994	1082	2184	4314	4364	1715	1068	4532	1136
58802	194	226	236	250	257	173	206	307	411	367	332	271	244	177	159	74	264	260
58815	31	18	42	129	131	34	99	46	22	40	190	129	64	130	69	108	93	160
58819	407	295	318	344	174	203	307	752	420	753	556	206	410	313	131	513	214	584
58822	232	221	57	79	228	177	109	372	422	163	90	252	256	181	159	109	246	301
58838	68	178	143	30	21	12	75	159	173	173	63	21	35	77	27	50	67	57
58841	1	35	3	5	26	133	201	10	40	25	9	29	211	220	103	14	157	23
58843	70	78	129	169	285	169	205	143	112	242	214	249	231	180	202	87	326	201
58856	228	245	443	466	560	321	254	351	404	495	614	519	430	341	246	228	460	534
58874	701	480	605	453	424	282	384	1031	733	895	717	507	628	473	190	176	321	1682
58914	0	10	1	93	155	133	127	1	11	5	66	136	139	175	54	87	75	770
58919	515	126	222	529	357	155	130	704	192	297	450	338	151	136	437	136	722	600
58924	0	0	2	0	0	3	638	0	1	2	0	3	10	1366	2	6	5	3
58938	65	312	374	216	210	148	135	153	422	523	354	198	229	189	111	73	214	208
58954	1994	6855	2572	285	166	427	690	4493	10539	5589	623	104	733	998	77	119	191	115
58958	30	979	6107	6919	6622	3483	4025	71	1125	11862	11661	5944	3676	3339	3284	3340	4303	7337
58973	10	8	267	4292	2672	549	663	48	8	435	5329	2412	821	825	517	1976	882	4636
58977	253	119	115	73	57	54	59	420	258	225	108	60	82	47	30	74	73	154
59006	15	16	26	21	38	50	62	31	25	40	35	49	74	64	113	38	135	209
59013	0	3	12	368	1699	1261	1090	0	0	47	302	1674	1879	1408	1198	376	2184	3075
59022	366	381	325	348	301	385	346	599	659	603	417	374	552	410	421	123	595	325
59030	180	395	653	979	909	497	445	273	547	1141	1353	1038	612	412	660	110	969	410
59079	1194	940	343	106	81	55	58	2123	1245	682	165	62	70	105	26	52	65	125
59083	855	1316	1501	1847	983	481	565	1183	2126	2884	2799	1014	630	523	585	279	840	1014
59115	136	150	103	16	13	12	12	284	224	89	32	10	25	37	3	2	9	8
59128	0	0	1	2	60	962	927	0	0	0	1	121	950	1706	15	149	18	154
59134	1885	1614	2339	3615	3508	2353	2397	3700	2863	3859	5108	3650	3548	3181	2462	3024	4932	9044
59136	55	102	44	179	461	331	263	90	120	271	129	391	370	182	341	55	440	100
59149	123	37	37	73	53	33	30	120	78	61	28	58	39	24	106	7	165	24
59151	0	0	191	962	225	5	10	0	1	354	1453	164	7	8	119	141	197	1078
59156	1820	5955	864	36	60	78	26	5539	9580	938	91	67	97	154	8	200	19	90
59184	218	740	1267	880	424	161	178	453	941	1603	1417	374	266	224	317	108	526	202
59190	535	373	346	255	253	165	131	927	563	578	268	236	244	185	251	55	427	102
59197	38	102	168	288	234	127	185	99	102	450	416	212	217	204	146	77	264	233
59227	0	1	0	32	230	169	513	4	0	0	6	264	199	586	398	36	566	79
59260	206	181	119	98	150	93	107	308	324	120	127	174	161	173	119	110	238	470
59316	405	172	99	54	74	34	31	726	252	184	81	51	44	29	25	29	39	33
59352	11610	1908	602	237	151	135	82	18597	3679	1231	576	98	211	358	26	278	52	83
59376	12	31	62	29	16	9	12	28	57	128	88	27	17	14	4	0	9	7
59395	11	25	54	75	181	194	179	21	58	132	108	200	276	252	74	28	146	73
59401	92	229	268	376	465	425	383	154	277	331	358	477	646	514	277	199	425	901
59449	64	55	44	104	90	39	40	66	80	94	100	90	61	42	64	8	77	23
5958	0	2	5	165	719	317	441	0	4	1	68	701	457	461	814	196	997	337
5960	9	16	95	88	259	366	261	23	31	110	77	358	360	442	468	55	631	176
5964	2	180	128	3	7	6	3	21	279	95	8	1	6	7	10	8	18	17
6001	6	5	4	1	1	3	2	38	7	11	2	13	5	7	19	59	19	55
6017	0	22	639	1243	744	740	1009	1	23	1279	2000	1524	1305	701	302	127	477	602
6027	32	58	46	36	26	31	22	85	77	115	49	32	52	27	29	49	51	104
6028	49	101	64	25	44	58	56	110	203	52	22	34	81	48	25	28	35	161
6034	178	790	322	95	133	84	109	531	1395	562	189	140	150	157	43	131	99	402
6061	134	277	229	135	102	99	384	196	388	323	200	91	261	370	84	98	143	277
6117	27	70	35	2	5	1	9	51	110	39	2	5	5	13	1	4	1	11
6126	15	23	14	8	8	10	10	36	52	16	6	11	8	11	8	3	17	2
6215	298	304	391	243	98	164	114	450	515	415	323	87	223	155	77	37	130	62
6223	0	19	42	40	91	23	27	13	42	105	44	74	10	27	41	3	53	10
6348	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
6368	9	119	335	626	478	223	249	28	183	747	818	492	391	220	153	81	313	309
6420	2	3	2	10	39	33	25	12	5	11	13	54	32	19	36	3	59	6
6436	54	462	716	234	283	267	354	137	628	1407	395	278	398	295	246	142	343	607
6501	1	0	6	333	426	281	230	2	1	3	196	416	340	185	310	139	469	323
6598	96	63	20	6	5	1	5	179	98	35	12	3	8	14	3	22	3	5
6628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6688	129	75	21	7	6	5	17	223	202	43	14	7	8	19	13	8	28	23
6690	2	93	192	775	919	415	358	8	91	304	676	781	514	293	463	47	552	119
6769	39	21	39	76	90	60	47	62	56	83	101	90	50	51	90	46	105	143
6794	46	142	146	153	251	153	130	123	222	298	204	203	199	160	240	72	294	133
6811	190	240	286	301	207	102	140	293	363	483	340	207	132	126	99	69	123	197
6820	3	1	6	12	29	21	14	5	11	8	13	37	27	10	36	3	38	9
6826	44	116	74	65	91	107	214	93	145	136	111	120	164	271	66	36	109	94
6958	72	28	48	64	103	54	80	132	78	97	58	90	172	97	217	35	244	49
7134	35	24	26	34	18	10	15	64	40	41	44	18	7	17	11	1	15	3
71378	0	0	0	1	0	0	27	1	0	1	0	0	0	68	0	0	1	1
71380	0	0	0	15	1	0	1	0	0	0	2	4	0	1	2	0	1	0
71382	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0
71387	0	0	0	59	135	24	10	0	0	1	20	136	31	7	12	5	11	19
71487	0	1	0	0	3	4	9	0	0	0	2	4	9	5	40	2	43	7
7152	11	19	23	12	6	4	12	22	29	24	8	9	6	11	4	4	8	10
71595	23	11	1389	1467	689	261	315	79	29	1989	1494	448	278	412	130	641	267	2295
71601	3	6	2	79	831	1130	737	14	14	5	17	1764	1485	853	84	133	161	19
71712	0	0	0	0	1	2	227	1	0	0	0	0	7	458	2	2	2	24
71786	68	73	64	136	182	86	62	125	92	79	113	151	108	95	254	26	303	63
7189	12	4	6	14	14	9	7	16	1	8	12	15	6	8	18	1	17	7
71962	17	8	2	1	0	0	0	28	18	8	0	0	2	0	8	83	9	94
71988	0	0	1	3	5	1	3	1	0	3	6	3	1	3	1	1	2	3
72163	0	1	1	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0
72172	9	42	94	93	26	3	14	23	79	201	349	38	31	33	27	19	15	5
72173	0	1	17	103	23	3	9	0	6	28	114	43	4	10	14	2	10	3
72223	56	147	138	105	75	62	58	113	200	188	142	68	83	73	33	22	51	60
72244	17	29	9	1	2	1	0	21	26	12	4	1	2	1	5	1	4	1
7229	33	49	30	27	66	36	37	29	78	44	38	52	69	61	71	83	89	128
72305	10	63	23	13	7	3	5	16	127	37	14	0	0	5	0	6	0	9
72325	121	73	34	94	3802	4683	2200	165	110	87	26	4595	4329	3991	1489	669	3086	3634
72350	225	130	333	572	718	332	338	301	138	289	382	333	381	366	434	116	1000	511
72359	43	228	177	34	4	9	2	75	290	299	53	13	7	8	3	8	6	31
72405	448	338	63	7	5	5	2	671	746	131	16	5	8	7	2	34	3	13
72456	1922	2517	2814	1451	606	303	408	2711	3461	3509	3192	654	445	357	225	906	437	726
72679	127	260	245	27	13	10	17	309	657	716	182	15	32	56	4	27	7	48
72719	7	16	24	32	128	203	119	6	8	21	17	120	236	200	691	31	767	125
7275	0	0	0	5	1	5	65	0	0	1	2	0	11	100	1	0	0	2
72750	217	8482	32996	6709	396	108	176	406	18471	51840	16863	325	172	179	10	115	22	132
72772	37	29	20	4	6	1	5	75	93	22	5	3	5	6	0	3	1	3
72796	0	1	7	18	7	20	6	0	0	2	6	4	2	2	3	5	3	5
72846	0	0	3	3	2	0	2	0	0	1	2	0	1	1	1	1	1	2
73050	0	0	20	100	145	105	72	0	1	25	96	202	113	106	94	16	186	109
73069	0	0	1	315	426	354	204	1	0	1	254	389	270	388	9	389	22	1392
73130	191	148	219	600	1843	1344	425	279	185	251	512	1528	1248	392	1874	257	2428	370
73159	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
73181	145	433	436	404	735	490	540	265	480	389	646	835	666	599	701	574	961	888
73185	18	48	64	23	10	22	17	37	93	83	27	6	20	19	10	10	9	18
73189	120	96	85	142	180	121	161	186	152	155	139	215	142	187	132	33	217	192
73207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
73240	12	31	17	2	0	0	0	16	45	29	2	0	2	6	0	6	0	1
73262	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
73266	422	4	8	3	1	0	4	637	7	7	13	1	1	3	1	2	0	4
73373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73394	37	42	27	7	6	9	0	68	116	71	11	8	3	2	0	12	1	17
7342	74	80	32	17	34	25	28	104	139	53	17	26	25	21	15	1	26	5
73423	440	4	3	3	0	4	63	657	12	3	9	1	13	106	2	5	5	12
73427	5	22	28	196	323	118	104	23	25	38	304	334	137	92	396	39	538	108
73467	44	25	24	46	2	1	6	44	77	27	41	2	4	12	11	5	13	35
73526	6	15	7	7	41	86	37	5	48	17	9	77	73	49	13	1	26	4
73532	0	0	0	0	6	18	28	0	0	0	0	15	26	38	2	0	0	1
73554	1	1	33	35	61	17	13	0	0	10	49	21	16	14	7	27	15	37
73582	0	0	26	131	28	9	24	0	0	40	96	37	10	10	46	25	47	37
73593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73697	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	2	0
7370	0	2	9	8	5	1	2	1	0	12	17	2	6	2	0	0	1	1
73705	415	986	657	601	472	325	241	724	1477	1365	948	534	453	369	410	52	812	246
73725	8	10	109	942	707	282	356	15	22	35	719	640	275	351	61	262	99	908
73744	0	0	4	2	0	1	0	0	0	2	1	0	2	0	3	0	1	0
73755	371	306	255	619	3502	2340	1589	501	486	311	850	2496	2052	2639	5499	2787	8723	4830
73789	0	29	18	109	391	369	477	1	10	9	61	420	285	432	1450	79	1459	138
73800	0	0	2	150	235	156	110	0	1	3	129	190	103	209	9	218	26	976
73834	1	2	4	5	2	0	2	0	1	4	2	2	0	0	1	0	0	0
73839	12	25	23	23	42	14	15	22	34	12	28	11	34	20	57	51	40	33
73840	36	185	19	3	0	3	4	59	272	52	6	0	8	6	2	0	2	1
73841	36	131	41	6	2	1	3	66	219	75	14	0	3	3	0	4	2	0
73849	181	35	37	16	23	16	11	228	37	35	21	29	24	16	39	7	57	17
73850	23	70	79	83	93	55	52	51	123	179	149	94	111	79	139	9	172	24
73854	124	30	15	8	4	6	7	181	38	30	12	12	6	8	0	1	0	4
73856	6	0	0	2	2	1	3	7	2	2	0	0	0	0	3	0	2	0
73857	3	103	17	9	1	2	3	5	160	23	11	4	2	2	5	1	3	1
73858	116	36	86	161	127	77	89	136	44	131	229	123	89	73	82	31	93	61
73865	5	23	27	58	16	4	23	4	57	31	105	50	16	20	3	0	2	24
73870	7	8	14	56	61	20	18	11	11	29	59	59	20	16	21	4	32	9
73872	23	67	17	8	6	6	5	17	106	26	13	6	9	10	1	1	2	10
73873	26	21	3	2	2	0	3	30	27	6	6	1	0	1	1	1	0	1
73875	16	109	350	706	529	186	170	36	151	624	746	371	170	141	200	33	251	83
73876	93	91	35	15	11	10	182	157	119	51	16	12	6	209	7	38	5	16
73885	0	0	1	40	62	39	36	0	1	8	36	54	52	37	85	10	109	41
73888	6	89	67	9	5	7	11	15	200	98	18	7	7	9	2	9	2	7
73890	15	13	8	3	8	0	5	18	30	12	5	9	2	6	2	2	1	1
73900	163	54	19	5	1	2	2	245	199	42	8	4	5	3	3	13	7	9
73904	32	88	82	143	105	57	44	73	128	239	300	110	74	45	42	20	95	50
73911	50	47	43	16	5	1	7	124	75	91	55	2	5	6	2	3	0	1
73913	0	1	0	0	0	1	0	1	9	0	0	0	1	0	0	0	0	0
73915	0	0	2	0	0	0	0	1	1	3	1	0	0	0	0	0	2	0
73920	3	23	23	11	4	1	2	13	80	27	15	3	5	2	1	0	0	6
73921	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
73922	22	20	12	8	2	1	1	35	27	29	9	0	2	0	0	0	1	0
73923	18	18	56	36	8	5	3	38	24	57	102	6	2	7	3	21	1	60
73924	95	417	55	10	4	11	9	201	618	119	21	3	9	10	0	4	3	2
73925	14	53	26	23	23	10	15	45	104	43	40	20	11	10	0	2	13	2
73927	31	57	24	13	0	3	1	26	98	67	41	3	2	2	0	0	0	0
73928	2	19	43	30	6	3	4	9	46	87	84	31	13	8	1	0	6	4
73930	2	46	6	2	1	0	2	5	71	10	4	0	2	1	0	0	0	1
